filename, language, Ignore, YAML, Markdown, HTML, JSON, Properties, Dockerfile, JavaScript, Python, TypeScript, CSS, comment, blank, total
.dockerignore, Ignore, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
README.md, Markdown, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
SPA\.dockerignore, Ignore, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
SPA\.editorconfig, Properties, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
SPA\Dockerfile, Dockerfile, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 7, 15
SPA\README.md, Markdown, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28
SPA\about.html, HTML, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
SPA\angular.json, JSON, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 35, 0, 131
SPA\canvasjs.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 900, 0, 0, 0, 11, 0, 911
SPA\dist\PickEM\index.html, HTML, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
SPA\dist\PickEM\main.6975ab175334d614b9e7.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
SPA\dist\PickEM\polyfills.bfaf123d018125a5506d.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
SPA\dist\PickEM\runtime.a66f828dca56eeb90e02.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
SPA\dist\PickEM\scripts.15b61e3f39f999f92eca.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
SPA\dist\PickEM\styles.5eea5bc6e1650d935ce7.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 6
SPA\e2e\protractor.conf.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 2, 28
SPA\e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
SPA\e2e\src\app.po.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
SPA\e2e\tsconfig.e2e.json, JSON, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
SPA\initials.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 13, 45
SPA\package-lock.json, JSON, 0, 0, 0, 0, 11392, 0, 0, 0, 0, 0, 0, 0, 1, 11393
SPA\package.json, JSON, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
SPA\src\app\app.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
