Date : 2019-11-06 20:19:24
Directory : c:\Users\nicchl01\Downloads\projects\pickEm
Total : 98 files,  17926 codes, 263 comments, 699 blanks, all 18888 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         11 |     14,646 |         38 |          8 |     14,692 |
| JavaScript |         25 |      1,318 |         56 |        134 |      1,508 |
| CSS        |         10 |        654 |          7 |        110 |        771 |
| TypeScript |         27 |        641 |        113 |        211 |        965 |
| Python     |          4 |        290 |         33 |        110 |        433 |
| HTML       |         11 |        278 |         13 |         78 |        369 |
| YAML       |          1 |         35 |          0 |          1 |         36 |
| Dockerfile |          3 |         33 |          2 |         27 |         62 |
| Markdown   |          2 |         15 |          0 |         15 |         30 |
| Properties |          1 |         10 |          1 |          3 |         14 |
| Ignore     |          3 |          6 |          0 |          2 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                       |         98 |     17,926 |        263 |        699 |     18,888 |
| SPA                                                     |         70 |     14,347 |        187 |        447 |     14,981 |
| api                                                     |         20 |      3,230 |         41 |        126 |      3,397 |
| SPA\src                                                 |         47 |      1,595 |        133 |        391 |      2,119 |
| SPA\src\app                                             |         36 |      1,452 |         50 |        358 |      1,860 |
| SPA\src\app\pick-em                                     |          3 |        312 |          5 |         88 |        405 |
| web_scraper                                             |          5 |        310 |         35 |        124 |        469 |
| SPA\src\app\user-form                                   |          3 |        251 |          8 |         35 |        294 |
| api\controllers                                         |          6 |        218 |         33 |         71 |        322 |
| SPA\src\app\login                                       |          3 |        194 |          8 |         34 |        236 |
| SPA\src\app\times-up                                    |          4 |        151 |          0 |         38 |        189 |
| SPA\src\app\confirmation                                |          4 |        149 |          1 |         41 |        191 |
| SPA\src\app\services                                    |          3 |        145 |         10 |         34 |        189 |
| SPA\src\app\navbar                                      |          3 |        105 |          0 |         32 |        137 |
| SPA\e2e                                                 |          4 |         57 |          2 |          9 |         68 |
| api\models                                              |          3 |         40 |          0 |         16 |         56 |
| api\routes                                              |          6 |         39 |          0 |         20 |         59 |
| SPA\src\app\models                                      |          4 |         25 |          1 |          4 |         30 |
| SPA\src\environments                                    |          2 |         24 |         10 |          4 |         38 |
| SPA\dist                                                |          6 |         23 |          5 |          2 |         30 |
| SPA\dist\PickEM                                         |          6 |         23 |          5 |          2 |         30 |
| SPA\e2e\src                                             |          2 |         20 |          0 |          7 |         27 |
| SPA\src\app\home                                        |          3 |         17 |          1 |         12 |         30 |
+---------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| .dockerignore                                           | Ignore     |          3 |          0 |          0 |          3 |
| README.md                                               | Markdown   |          1 |          0 |          1 |          2 |
| SPA\.dockerignore                                       | Ignore     |          2 |          0 |          1 |          3 |
| SPA\.editorconfig                                       | Properties |         10 |          1 |          3 |         14 |
| SPA\Dockerfile                                          | Dockerfile |          8 |          0 |          7 |         15 |
| SPA\README.md                                           | Markdown   |         14 |          0 |         14 |         28 |
| SPA\about.html                                          | HTML       |         13 |          0 |          2 |         15 |
| SPA\angular.json                                        | JSON       |         96 |         35 |          0 |        131 |
| SPA\canvasjs.min.js                                     | JavaScript |        900 |         11 |          0 |        911 |
| SPA\dist\PickEM\index.html                              | HTML       |         18 |          0 |          2 |         20 |
| SPA\dist\PickEM\main.6975ab175334d614b9e7.js            | JavaScript |          1 |          0 |          0 |          1 |
| SPA\dist\PickEM\polyfills.bfaf123d018125a5506d.js       | JavaScript |          1 |          0 |          0 |          1 |
| SPA\dist\PickEM\runtime.a66f828dca56eeb90e02.js         | JavaScript |          1 |          0 |          0 |          1 |
| SPA\dist\PickEM\scripts.15b61e3f39f999f92eca.js         | JavaScript |          1 |          0 |          0 |          1 |
| SPA\dist\PickEM\styles.5eea5bc6e1650d935ce7.css         | CSS        |          1 |          5 |          0 |          6 |
| SPA\e2e\protractor.conf.js                              | JavaScript |         24 |          2 |          2 |         28 |
| SPA\e2e\src\app.e2e-spec.ts                             | TypeScript |         11 |          0 |          4 |         15 |
| SPA\e2e\src\app.po.ts                                   | TypeScript |          9 |          0 |          3 |         12 |
| SPA\e2e\tsconfig.e2e.json                               | JSON       |         13 |          0 |          0 |         13 |
| SPA\initials.js                                         | JavaScript |         32 |          0 |         13 |         45 |
| SPA\package-lock.json                                   | JSON       |     11,392 |          0 |          1 |     11,393 |
| SPA\package.json                                        | JSON       |         55 |          0 |          1 |         56 |
| SPA\src\app\app.component.css                           | CSS        |          2 |          0 |          2 |          4 |
| SPA\src\app\app.component.html                          | HTML       |          4 |          1 |          6 |         11 |
| SPA\src\app\app.component.ts                            | TypeScript |          9 |          0 |          2 |         11 |
